Info 0    [03:16:43.324] Starting TS Server
Info 1    [03:16:43.324] Version: 4.4.4
Info 2    [03:16:43.324] Arguments: /usr/bin/node /home/kreimben/.emacs.d/.local/etc/lsp/npm/typescript/bin/tsserver --logFile /home/kreimben/Documents/Repository/MyWebsite/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/1f13fb528bcf33e41e8f9357009e0439/tscancellation*
Info 3    [03:16:43.324] Platform: linux NodeVersion: 17 CaseSensitive: true
Info 4    [03:16:43.324] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [03:16:43.333] Search path: /home/kreimben/Documents/Repository/MyWebsite
Info 6    [03:16:43.334] For info: /home/kreimben/Documents/Repository/MyWebsite/index.ts :: No config files found.
Info 7    [03:16:43.336] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [03:16:43.601] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 264.86825999990106ms
Info 9    [03:16:43.601] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [03:16:43.601] 	Files (20)

Info 11   [03:16:43.601] -----------------------------------------------
Info 12   [03:19:39.946] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 13   [03:19:39.951] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 5.072246000170708ms
Info 14   [03:19:39.951] Different program with same set of files
Info 15   [03:19:40.066] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 16   [03:19:40.070] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 3.4384880010038614ms
Info 17   [03:19:40.070] Different program with same set of files
Info 18   [03:19:40.514] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 19   [03:19:40.519] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 4.655631000176072ms
Info 20   [03:19:40.519] Different program with same set of files
Info 21   [03:19:40.619] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 22   [03:19:40.623] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 3.6401470005512238ms
Info 23   [03:19:40.623] Different program with same set of files
Info 24   [03:19:40.709] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 25   [03:19:40.713] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 3.6162720005959272ms
Info 26   [03:19:40.713] Different program with same set of files
Info 27   [03:19:40.903] getCompletionData: Get current token: 0.013756001368165016
Info 28   [03:19:40.904] getCompletionData: Is inside comment: 0.04057700000703335
Info 29   [03:19:40.904] getCompletionData: Get previous token: 0.05849999934434891
Info 30   [03:19:40.904] getCompletionsAtPosition: isCompletionListBlocker: 0.35023999959230423
Info 31   [03:19:40.910] getExportInfoMap: cache miss or empty; calculating new results
Info 32   [03:19:40.911] getExportInfoMap: done in 0.9043339993804693 ms
Info 33   [03:19:40.912] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 1 from cache
Info 34   [03:19:40.912] collectAutoImports: response is incomplete
Info 35   [03:19:40.912] collectAutoImports: 0.9456110000610352
Info 36   [03:19:40.912] getCompletionData: Semantic work: 8.015769999474287
Info 37   [03:19:40.930] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 17.724488999694586
Info 38   [03:19:41.780] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 39   [03:19:41.784] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 4.085464999079704ms
Info 40   [03:19:41.784] Different program with same set of files
Info 41   [03:19:41.784] getCompletionData: Get current token: 0.008354999125003815
Info 42   [03:19:41.784] getCompletionData: Is inside comment: 0.028543999418616295
Info 43   [03:19:41.784] getCompletionData: Get previous token: 0.0469990000128746
Info 44   [03:19:41.784] getCompletionsAtPosition: isCompletionListBlocker: 0.018164001405239105
Info 45   [03:19:41.787] getExportInfoMap: cache hit
Info 46   [03:19:41.787] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 1 from cache
Info 47   [03:19:41.787] collectAutoImports: response is incomplete
Info 48   [03:19:41.787] collectAutoImports: 0.0953189991414547
Info 49   [03:19:41.787] getCompletionData: Semantic work: 2.5725159998983145
Info 50   [03:19:41.798] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 11.054123999550939
Info 51   [03:19:42.065] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 52   [03:19:42.068] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 2.9092099983245134ms
Info 53   [03:19:42.068] Different program with same set of files
Info 54   [03:19:42.346] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 55   [03:19:42.350] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 3.0479409992694855ms
Info 56   [03:19:42.350] Different program with same set of files
Info 57   [03:19:42.399] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 58   [03:19:42.401] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 1.6879999991506338ms
Info 59   [03:19:42.401] Different program with same set of files
Info 60   [03:19:42.490] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 61   [03:19:42.493] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 2.142696000635624ms
Info 62   [03:19:42.493] Different program with same set of files
Info 63   [03:19:42.664] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 64   [03:19:42.666] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 1.6200719997286797ms
Info 65   [03:19:42.666] Different program with same set of files
Info 66   [03:19:42.777] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 67   [03:19:42.778] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 1.7527409996837378ms
Info 68   [03:19:42.779] Different program with same set of files
Info 69   [03:19:42.899] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 70   [03:19:42.901] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 1.6106639988720417ms
Info 71   [03:19:42.901] Different program with same set of files
Info 72   [03:19:43.040] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 73   [03:19:43.043] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 2.976367000490427ms
Info 74   [03:19:43.043] Different program with same set of files
Info 75   [03:19:43.233] getCompletionData: Get current token: 0.007584000006318092
Info 76   [03:19:43.233] getCompletionData: Is inside comment: 0.03351300023496151
Info 77   [03:19:43.233] getCompletionData: Get previous token: 0.028643999248743057
Info 78   [03:19:43.233] getCompletionsAtPosition: isCompletionListBlocker: 0.00390700064599514
Info 79   [03:19:43.238] getCompletionData: Semantic work: 4.419716000556946
Info 80   [03:19:43.265] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 26.250461000949144
Info 81   [03:19:43.990] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 82   [03:19:43.993] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 2.69752199947834ms
Info 83   [03:19:43.993] Different program with same set of files
Info 84   [03:19:44.950] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
